,eventID,groupID,RP_hit_in_group,Max_line_no
14535,20007065,3,3,4
14551,20007073,2,3,1
14579,20007087,1,3,1
14597,20007097,4,3,1
14604,20007101,1,3,1
14614,20007105,4,3,1
14619,20007107,5,3,1
14646,20007121,1,3,1
14683,20007138,4,3,2
14698,20007146,2,3,1
14708,20007149,5,3,1
14726,20007158,1,3,2
14727,20007158,5,3,5
14770,20007180,2,3,1
14891,20007240,2,3,1
14915,20007250,5,3,1
14939,20007263,4,3,1
14964,20007277,2,3,1
14976,20007284,1,3,1
15023,20007305,2,3,1
15024,20007305,4,3,1
15054,20007321,2,3,1
15082,20007335,1,3,3
15101,20007345,2,3,1
15102,20007345,4,3,1
15105,20007347,1,3,1
15118,20007353,5,3,1
15127,20007358,1,3,3
15230,20007405,2,3,1
15256,20007418,5,3,1
15260,20007420,4,3,1
15277,20007429,2,3,1
15321,20007450,1,3,4
15326,20007452,2,3,1
15329,20007453,2,3,4
15344,20007461,1,3,4
15369,20007472,5,3,1
15403,20007488,4,3,1
15416,20007495,1,3,1
15432,20007503,2,3,1
15497,20007537,1,3,4
15519,20007547,1,3,1
15527,20007551,1,3,1
15571,20007571,3,3,6
15601,20007585,2,3,2
15628,20007599,4,3,3
15686,20007626,4,3,1
15696,20007632,2,3,1
15752,20007656,4,3,1
15758,20007659,5,3,1
15761,20007661,1,3,1
15762,20007661,5,3,1
15784,20007672,5,3,1
15807,20007682,4,3,1
15824,20007689,5,3,1
15830,20007691,5,3,2
15879,20007714,4,3,1
15884,20007716,5,3,3
15887,20007718,1,3,1
15910,20007728,4,3,1
15932,20007739,4,3,1
15933,20007741,2,3,1
15941,20007745,2,3,1
15998,20007771,1,3,1
16021,20007783,5,3,1
16029,20007788,1,3,1
16095,20007819,2,3,1
16096,20007819,4,3,1
16151,20007847,1,3,1
16197,20007867,4,3,1
16203,20007870,4,3,1
16237,20007888,2,3,1
16245,20007890,5,3,1
16263,20007899,4,3,1
16305,20007919,5,3,1
16316,20007925,1,3,1
16318,20007925,5,3,2
16339,20007938,2,3,1
16342,20007939,5,3,1
16352,20007944,4,3,1
16373,20007955,5,3,3
16389,20007963,5,3,1
16433,20007984,2,3,1
16439,20007987,1,3,1
16455,20007993,5,3,1
16472,20008001,4,3,1
16567,20008049,5,3,1
16571,20008051,5,3,1
16579,20008055,2,3,2
16597,20008063,5,3,2
16604,20008066,1,3,2
16633,20008080,4,3,1
16634,20008081,2,3,1
16648,20008087,5,3,3
16668,20008097,1,3,4
16676,20008100,1,3,1
16682,20008103,2,3,1
16713,20008118,5,3,1
16750,20008138,4,3,1
16763,20008147,4,3,3
16772,20008150,4,3,1
16778,20008153,5,3,1
16801,20008164,2,3,1
16809,20008167,5,3,1
16813,20008169,2,3,6
16821,20008172,5,3,2
16893,20008208,4,3,3
16907,20008214,5,3,1
16910,20008216,1,3,1
16924,20008223,2,3,1
16927,20008224,4,3,2
16932,20008226,2,3,3
16957,20008238,1,3,4
16974,20008245,5,3,1
17003,20008259,4,3,2
17027,20008271,2,3,7
17052,20008283,5,3,1
17055,20008285,1,3,1
17076,20008295,1,3,2
17081,20008296,5,3,1
17114,20008312,1,3,1
17144,20008326,2,3,1
17194,20008350,2,3,1
17205,20008355,5,3,1
17220,20008362,1,3,2
17225,20008363,5,3,1
17243,20008372,4,3,1
17246,20008374,2,3,1
17250,20008376,2,3,1
17276,20008389,1,3,1
17285,20008393,5,3,1
17304,20008403,2,3,2
17351,20008426,5,3,1
17368,20008434,2,3,1
17450,20008473,2,3,1
17458,20008477,1,3,2
17471,20008483,4,3,6
17500,20008497,5,3,1
17514,20008505,5,3,1
17518,20008507,4,3,1
17539,20008519,1,3,1
17554,20008526,2,3,5
17591,20008544,2,3,1
17600,20008549,1,3,3
17620,20008559,2,3,1
17647,20008573,1,3,6
17702,20008600,5,3,1
17715,20008606,2,3,1
17774,20008636,1,3,2
17785,20008642,2,3,1
17786,20008642,4,3,1
17797,20008648,2,3,1
17803,20008651,2,3,3
17822,20008660,2,3,2
17855,20008677,2,3,1
17885,20008691,4,3,2
